,Class,alpha-chars-ratio,digit-chars-ratio,upper-chars-ratio,white-chars-ratio,number-of-words,size-of-vocabulary,type-token-ratio,hapax-legomena,hapax-dislegomena,average-word-length,average-sentence-char-length,average-sentence-word-length,average-paragraph-length,exclamation_mark_rate,question-mark-rate,adverbs-rate,adjectives-rate,quotes-rate,adjectivs-adverbs-rate
0,YP,0.7752176139272914,0.01228878648233487,0.029185867895545316,0.18740399385560677,320,195,54.83870967741935,153,21,5.470588235294118,120.0,20.8125,16.55,0.0,0.0,0.006144393241167435,0.011776753712237584,12,0.017921146953405017
1,HQ,0.795802798134577,0.0033311125916055963,0.01765489673550966,0.18021319120586277,506,274,49.64912280701754,212,24,5.678445229681979,123.08333333333333,21.333333333333332,31.875,0.0,0.0,0.004996668887408394,0.011325782811459028,16,0.01632245169886742
2,HQ,0.7859531772575251,0.009364548494983277,0.02508361204013378,0.17993311036789297,486,278,51.42857142857142,214,33,5.729166666666667,112.84615384615384,19.384615384615383,21.82608695652174,0.0,5.357142857142857,0.0046822742474916385,0.012709030100334449,14,0.017391304347826087
3,HQ,0.8103638368246968,0.005512679162072767,0.025358324145534728,0.16207276736493936,278,183,57.71604938271605,139,29,6.021390374331551,127.85714285714286,20.285714285714285,31.444444444444443,0.0,0.0,0.0033076074972436605,0.010474090407938258,2,0.013781697905181918
4,YP,0.7870550161812297,0.005825242718446602,0.03171521035598705,0.1818770226537217,258,167,58.16326530612245,130,19,5.426900584795321,152.6,26.5,21.833333333333332,0.0,0.0,0.006472491909385114,0.009708737864077669,6,0.016181229773462782
5,YP,0.7805203468979319,0.0133422281521014,0.028018679119412943,0.1821214142761841,248,155,57.29537366548043,116,26,5.559006211180124,134.1818181818182,23.09090909090909,19.153846153846153,0.0,0.0,0.00533689126084056,0.00867244829886591,9,0.014009339559706471
6,YP,0.7868999551368326,0.00762673844773441,0.03050695379093764,0.18214445939883356,366,236,62.593516209476306,197,20,5.681274900398407,136.1875,22.625,16.714285714285715,0.0,0.0,0.009421265141318977,0.01301031852848811,15,0.02243158366980709
7,HQ,0.8155859607376561,0.001784651992861392,0.020226055919095775,0.16121356335514575,256,182,63.6986301369863,149,19,5.913978494623656,110.33333333333333,17.333333333333332,32.375,0.0,0.0,0.005353955978584176,0.013682331945270671,3,0.01903628792385485
8,YP,0.788195741501681,0.004109077325364214,0.03884945834889802,0.18528203212551364,425,264,58.110882956878854,211,28,5.477031802120141,155.1764705882353,25.88235294117647,18.291666666666668,0.0,2.0533880903490758,0.004856182293612252,0.011580127007844603,21,0.016436309301456856
9,HQ,0.8016597510373444,0.004149377593360996,0.026970954356846474,0.17427385892116182,382,190,45.58139534883721,133,27,5.668367346938775,112.9047619047619,19.047619047619047,20.736842105263158,0.0,6.976744186046512,0.0024896265560165973,0.007468879668049793,10,0.00995850622406639
10,HQ,0.793,0.01,0.027,0.177,154,102,63.1578947368421,73,18,5.5092592592592595,163.5,26.333333333333332,17.555555555555557,0.0,0.0,0.001,0.007,8,0.008
11,YP,0.7932457786116323,0.011632270168855536,0.03189493433395872,0.17410881801125705,425,227,52.77161862527716,167,27,5.836134453781512,238.63636363636363,37.90909090909091,27.8,0.0,0.0,0.00300187617260788,0.008630393996247656,7,0.011632270168855536
12,HQ,0.7989720159908623,0.006282124500285551,0.0508280982295831,0.17190177041690463,267,161,53.333333333333336,125,19,5.690476190476191,100.88235294117646,16.470588235294116,16.529411764705884,0.0,0.0,0.002284408909194746,0.008566533409480296,6,0.010850942318675044
13,HQ,0.8101178101178101,0.005544005544005544,0.04712404712404712,0.16562716562716562,222,131,55.82329317269076,93,24,5.755395683453237,158.33333333333334,24.88888888888889,24.555555555555557,0.0,0.0,0.004158004158004158,0.007623007623007623,9,0.01178101178101178
14,YP,0.7809839167455062,0.01466414380321665,0.051561021759697255,0.18070009460737937,351,198,50.49019607843137,147,28,5.179611650485437,148.64285714285714,25.642857142857142,22.5,0.0,0.0,0.004730368968779565,0.004730368968779565,1,0.00946073793755913
15,YP,0.7826272999572101,0.014976465554129225,0.04150620453572957,0.18314077877620882,393,217,50.66964285714286,159,25,5.18942731277533,153.8,27.133333333333333,22.666666666666668,0.0,0.0,0.005134788189987163,0.009413778348309799,2,0.014548566538296961
16,YP,0.7914386868361764,0.009816543289346637,0.03009333762471838,0.17943353717412294,1027,483,43.23144104803494,326,76,5.63030303030303,153.4,26.5,25.804878048780488,0.0,0.0,0.006919858384293531,0.009011908593498551,11,0.015931766977792083
17,HQ,0.8082335643772317,0.0016803192606595252,0.02520478890989288,0.17223272421760136,762,354,41.07351225204201,241,54,5.909090909090909,162.0344827586207,26.79310344827586,26.79310344827586,0.0,0.0,0.0058811174123083385,0.010081915563957152,16,0.01596303297626549
18,HQ,0.7903834691039142,0.01351082853169084,0.03278362805483807,0.17126962050466918,793,396,44.69945355191257,273,62,5.882640586797066,110.04444444444445,18.31111111111111,23.457142857142856,0.0,2.185792349726776,0.004768527717067356,0.011523941982912775,12,0.01629246969998013
19,YP,0.7996715927750411,0.010262725779967159,0.027504105090311988,0.1687192118226601,373,219,55.529411764705884,158,34,5.741525423728813,133.44444444444446,21.61111111111111,19.55,0.0,0.0,0.004105090311986864,0.011494252873563218,1,0.015599343185550082
20,YP,0.7966976264189887,0.0020639834881320948,0.04059167526659787,0.18507051943584452,485,201,39.626168224299064,124,34,5.3254716981132075,205.5,35.42857142857143,22.636363636363637,0.0,0.0,0.006535947712418301,0.006191950464396285,19,0.012727898176814585
21,HQ,0.797784586377563,0.0016497761018147536,0.024746641527221305,0.18076832429884515,723,321,39.87804878048781,222,42,5.553516819571866,155.5185185185185,27.185185185185187,41.05555555555556,0.0,1.2195121951219512,0.005892057506481263,0.010605703511666275,16,0.01649776101814754
22,HQ,0.794891640866873,0.0030959752321981426,0.03869969040247678,0.1803405572755418,219,132,54.0,99,16,5.185185185185185,159.5,27.875,27.75,0.0,0.0,0.003869969040247678,0.006191950464396285,6,0.010061919504643963
23,YP,0.7874276261373035,0.0041356492969396195,0.04838709677419355,0.1902398676592225,406,216,50.54704595185996,154,31,5.285714285714286,125.10526315789474,22.210526315789473,19.045454545454547,0.0,2.1881838074398248,0.007444168734491315,0.009511993382961124,16,0.01695616211745244
